"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,41;2,1;0,19;0,03;0,87;1,05;167,68;88,16;97,91;19,12;0,8;4,08;5,08;18,64;80,32;8,31;0,99;22247,64;15,33;8,37;71,37;0,02;0,1;0,01;0,03;0,75;1,15;197,34;86,3;118,52;47,93;0,81;4,26;5,26;14,62;81;5,15;1,2;14024,24;15,15;7,91;61,86;-65,45;146,21;-36,4;0,01;0,45;0,48;202,43;114,74;251,16;7,2;1,45;-3,23;-2,23;-50,71;144,76;-40,96;-0,85;NA;15,25;5,75;449,65
"2";0;0;NA;0,18;0,61;0,89;NA;NA;NA;NA;0,9;9,43;10,43;0;90,42;0;0,5;0;0;NA;NA;0;0;NA;0,09;0,94;0,98;NA;NA;NA;NA;1,04;-23,31;-22,31;0;104,48;0;-1,89;0;0;NA;NA;-590,44;92,34;-53,12;0,12;0,13;0,13;32,75;1,66;230,05;NA;7,39;-1,16;-0,16;100,49;739,46;-79,35;-74,58;NA;0;45,01;148,1
"3";0,03;0,34;0,01;0;0,26;0,75;187,26;36,06;72,88;69,71;0,92;11,03;12,03;53,54;91,69;8,95;0,56;8307,77;39,54;27,45;100,71;0,07;0,86;0,04;0;0,27;0,78;193,97;41,71;89,79;78,21;0,92;11,39;12,44;49,64;91,96;7,38;0,52;9125,93;33,1;26,41;91,19;0,02;0,16;0,02;0;0,25;0,89;256,45;43,57;96,72;114,02;0,86;6,06;7,06;43,08;85,83;6,92;0,6;NA;32,25;21,68;57,96
"4";-175,04;101,75;-96,15;0,03;0,09;0,1;200,49;21,68;283,4;4,06;2,66;-1,55;-0,58;-102,83;272,04;-60,37;-1,06;NA;117,53;39,67;75,57;-8,36;4,42;-4,79;0;0,09;0,1;208,67;50,07;352,51;4,49;2,83;-1,5;-0,53;66,87;289,09;-1,37;-2,58;NA;108,01;43,12;88,23;12,87;-8,51;8,78;0;0,21;0,22;248,26;82,5;400,09;4,61;2,51;-1,66;-0,66;72,4;251,18;5,48;-1,17;NA;80,46;29,7;52,17
"5";-2,53;-7,05;-2,58;0,01;0,74;1,01;372,16;86,17;98,14;32,3;0,64;1,78;2,78;23,69;64,07;8,48;0,94;16764,48;31,77;26,73;75,86;-0,15;-0,38;-0,13;0,01;0,69;0,99;321,69;68,28;82,47;31,68;0,6;1,5;2,5;29,33;60,05;12,07;0,93;16213;29,06;26,05;79,02;-1,01;-2,62;-0,8;0,01;0,78;1,04;288,92;79,57;89,75;27;0,61;1,59;2,59;30,49;61,45;9,33;0,94;NA;23,44;17,86;55,8
"6";0,23;31,93;0,21;0,03;1,01;1,01;343,94;328,89;336,55;NA;0,99;139,87;140,87;0,23;99,29;0,3;3,9;NA;0,08;0;0;0,35;23,63;0,17;0,01;0,85;0,85;174,28;142,04;169,78;NA;0,99;65,73;66,73;0,35;98,5;0,47;0,09;NA;0;0;0;0,22;24,3;0,12;0;1,01;1,01;200,1;197,85;196,13;NA;0,99;110,9;111,9;0,59;99,11;0,3;NA;NA;0;0,15;34,55
"7";-53,09;119,68;-10,06;0;0,65;0,74;69,14;59,41;91,95;8,58;1,44;-3,25;-2,25;235,41;144,36;-32,46;NA;3519;0;54,64;168,7;-61705,35;85,73;-93,77;0;0;0;0,55;0,35;394,3;NA;720,75;-1;0;15928,88;72074,87;-85,61;NA;1376,45;0;117,98;479,41;-492,85;28,82;-61,43;0;0,06;0,06;45,37;44,85;803,74;NA;18,1;-1,06;-0,06;623,84;1810;-27,23;NA;NA;0;139,18;175,15
"8";-39,55;343,82;-14,7;0,52;0,6;0,63;135,69;11,09;145,34;3,95;1,12;-9,69;-8,69;97,44;111,5;-27,81;-0,33;6034,93;0;50,92;111,02;-66,58;89,52;-44,62;0,02;0,44;0,45;243,95;175,31;414,26;3,17;1,74;-2,34;-1,34;25,77;174,38;-34,17;-3,29;3405,69;0;61,9;210,71;-2523,34;68,7;-96,77;0;0,01;0,01;13,96;2,1;520,78;NA;37,73;-1,03;-0,03;-673,25;3773,2;-60,75;-50,36;NA;0,98;44,18;3875,95
"9";-124,11;2,48;-61,52;-0,04;-0,04;0;180,94;NA;7331,32;333,78;51,13;-1,02;-0,02;-124,11;5113,08;-2,43;-48,29;NA;1004,95;0;0;229,82;2,35;-51,7;-0,03;-0,03;-0,03;-81,89;NA;6281,78;0;-96,69;-0,99;0,01;229,82;-9668,54;-2,38;-49,75;NA;-1912,19;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";2,07;156,05;0,49;-0,1;0,41;1,04;87,01;42,14;81,42;52,76;0,99;74,54;75,54;44,6;98,68;2,09;NA;13489,47;1,67;10,14;90,92;0,24;10,89;0,04;-0,1;0,77;1,11;56,86;43,24;50,23;17,41;0,98;44,41;45,41;95,55;97,8;0,25;11,25;18186,36;0,64;14,89;92,25;-46,27;106,02;-10,31;-0,03;0,58;0,74;81,06;64,73;99,59;17,39;1,44;-3,29;-2,29;67,26;143,64;-32,21;NA;13145,29;10,18;18,52;119,38
