"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";38,94;67,46;11,92;1,94;2,28;2,52;111,39;12,05;36,22;8,92;0,42;0,73;1,73;41,84;42,28;93,85;3,93;28370;9,23;0,89;4,89;17,72;29,66;9,22;2,11;2,32;2,48;189,51;14,31;67,3;10,9;0,4;0,67;1,67;21,96;40,28;52;7;NA;4,35;1,63;9,3;21,9;34,91;13,98;2,08;2,57;2,68;232,34;42,34;85,58;9,36;0,37;0,59;1,59;24,93;37,27;61,74;NA;NA;0,01;1,43;6,03
"2";0,31;0,77;0,79;0,06;0,22;0,64;935,7;91,19;546,76;229,18;0,6;1,5;2,5;5,28;59,93;8,69;0,65;7958,39;0,73;12,78;43,62;0,23;0,6;0,5;0,04;0,17;0,67;798,28;61,86;484,91;246,24;62;163,19;2,63;6,52;62;8,12;0,65;NA;0,39;9,71;34,74;0,23;0,61;0,52;0,03;0,13;0,74;818,82;49,41;502,27;307,7;62,17;164,37;2,64;6,41;62,17;7,29;0,7;NA;0;10,21;37,22
"3";0,96;2,6;0,67;0,11;1,02;1,13;255,3;117,7;128,32;13,44;0,63;1,71;2,71;9,3;63,12;23,95;1,15;20843,5;0;5,85;30,45;4,08;6,73;1,71;0,93;1,48;1,5;153,15;32,99;59,24;0,71;39,4;65,03;1,65;21,11;39,4;72;1,49;NA;0;5,13;24,67;-2,1;-3,51;-0,67;1,35;1,73;1,81;115,86;17,29;23,92;3,88;40,28;67,44;1,67;17,38;40,28;59,99;2,24;NA;19,32;4,36;28,92
"4";-5,06;-25,08;-1,61;0,05;0,49;0,51;115,58;40,87;46,32;1,56;0,8;3,95;4,95;0,67;79,82;14,98;0,34;NA;39,18;1,34;42,14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";10,56;10,56;70,54;NA;NA;NA;1803,62;414,27;NA;NA;NA;NA;1;10,56;0;NA;NA;NA;0;0;0;-75,01;144,11;-10,57;0,05;0,83;0,83;51,27;47,52;61,11;NA;1,52;-2,92;-1,92;478,87;152,05;-49,33;NA;NA;0;78,01;114,61;-45,59;44,57;-3,35;0,03;0,65;0,65;26,76;25,19;40,87;NA;2,02;-1,98;-0,98;883,91;202,29;-22,54;NA;NA;0;68,32;104,49
"6";1,19;29,57;1,61;0,93;1,27;1,27;491,24;49,85;147,54;NA;0,96;23,81;24,81;1,19;95,97;1,24;0,85;NA;0;0;0;2,93;41,21;2,01;1,01;1,42;1,42;249,45;29,54;71,16;NA;0,93;13,08;14,08;12,03;92,9;14,36;0,75;NA;0;6,24;35,73;-43,35;144,12;-18,26;0,5;1,7;1,7;153,35;52,68;44,11;NA;1,3;-4,32;-3,32;-24,1;130,08;-22,53;1,4;NA;0;8,11;-559,17
"7";2,51;13,58;1,41;0,12;0,67;0,67;204,23;41,2;75,55;0,38;0,82;4,41;5,41;12,93;81,52;29,45;0,85;NA;44,11;5,85;24,28;1,23;15,43;1,44;0,41;1,1;1,12;423,37;38,25;7,57;1,11;0,92;11,5;12,5;2,65;92;13,34;1,02;NA;11,44;1,65;7,83;2,79;27,93;3;0,18;0,24;0,29;391,07;17,28;308,75;17,65;0,9;9;10;4,27;90;18,24;0,18;NA;6,62;1,59;6,21
"8";-2,5;-2,76;-0,99;10,82;10,87;10,87;107,99;0,55;13,07;NA;0,09;0,1;1,1;4,23;9,18;-27,29;NA;167,5;0;2,66;129,25;14,18;36,19;7,39;0,84;1,11;1,64;189,7;31,03;114,09;61,03;0,61;1,55;2,55;16,97;60,82;23,31;NA;NA;0;1,45;12,14;7,46;28,14;5,68;0,84;1,18;1,51;277,24;49,63;145,83;48,12;0,73;2,77;3,77;9,32;73,5;14,47;2,37;NA;0;1,42;11,42
"9";0,06;3,35;0,03;0,4;1,11;1,59;216,65;95,58;59,25;64,96;0,98;58,65;59,65;26,85;98,32;0,06;NA;10113;34,65;15,95;86,75;6,04;72,71;2,39;0,27;1,21;1,44;143,94;92,23;74,6;22,67;0,92;11,04;12,04;38,08;91,69;6,59;NA;NA;16,29;9,25;54,06;1,57;14,28;0,55;0,33;1,4;1,65;127,36;80,95;75,67;18,81;0,89;8,08;9,08;39,74;88,99;1,77;NA;NA;0;9,62;54,02
"10";-0,9;-2,16;-0,59;0,17;0,92;1,5;241,43;102,32;135,04;79,14;0,59;1,41;2,41;26,5;58,55;2,9;2,82;14581,67;0,1;18,17;87,02;3,03;8,42;1,92;0,66;2,93;4,74;230,57;77,33;34,03;61,59;0,64;1,78;2,78;34,84;64,02;10,53;2,86;NA;0,02;14,35;58,96;5,47;15,25;3,78;0,22;0,79;1,11;251,65;85,95;156,47;50,03;0,64;1,79;2,79;35,97;64,11;16,07;1,19;NA;0,03;15,14;56,4
