"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,18;-0,19;NA;0;0,12;0,41;NA;NA;NA;NA;1,96;-2,04;-1,04;0,18;196,34;0,09;-9,75;NA;0;NA;0;-9,74;7,59;NA;0;0,13;0,45;NA;NA;NA;NA;2,28;-1,78;-0,78;-9,74;228,35;-4,27;-10,57;NA;0;NA;0;-0,17;0,13;NA;0;0,13;0,44;NA;NA;NA;NA;2,29;-1,77;-0,77;-0,17;229,43;-0,07;-10,6;NA;0;NA;NA
"2";4,14;7,96;3,04;0,02;1,91;1,91;267,11;172,35;84,1;0,05;0,48;0,92;1,92;44,08;47,94;8,8;1,92;13256,48;6,2;29,3;62,2;4,13;9,31;NA;0,01;1,55;1,55;166,45;84,56;60,19;0,08;55,67;125,58;2,26;48,33;55,67;8,36;1,62;NA;8,76;14;29,92;-81,98;173,28;NA;0;0,7;0,73;279,79;181,29;315,15;10,48;147,31;-311,37;-2,11;-6,43;147,31;-54,55;-10,74;NA;17,26;42,68;234,4
"3";0,11;8,93;0,06;0,27;0,82;0,82;200,27;106,68;180,55;NA;0,99;80,84;81,84;4,71;98,78;0,78;0,07;18579;7,54;2,53;32,61;0,03;3,18;NA;0,36;1,12;1,12;269,43;163,33;201,87;0;0,99;100,96;101,96;3,53;99,02;1,07;2,12;NA;5,41;1,81;18,19;-34,23;103,54;NA;0,15;0,58;0,58;209,74;116,61;253,81;NA;1,33;-4,02;-3,02;-28,71;133,06;-21,99;-1,23;NA;6,92;2,31;-38,88
"4";1,53;-116,17;2,13;0,01;0,52;0,99;508,46;256,28;447,04;238,22;1,01;-77,11;-76,11;7,6;101,31;3,02;-0,17;8047,22;10,85;8,48;55,45;-0,24;-6,02;NA;0,13;0,42;1,04;747,74;199,04;633,88;442,43;0,96;24,47;25,47;4,33;96,07;0,42;11,95;NA;9,64;6,95;61,04;-14,52;141,96;NA;0,2;0,42;0,91;1001,82;241,71;975,13;529,27;1,1;-10,78;-9,78;-10,37;110,23;-12,8;NA;NA;11,6;8,69;-45,5
"5";19,29;152,82;15,32;0,03;1,2;1,21;289,2;195,08;206,26;2,2;0,87;6,92;7,92;30,12;87,38;24,36;2,46;-14192,96;2,78;8,6;-79,06;-8,14;-307,3;-23,71;0,01;1,08;1,09;1060,74;646,96;739,69;14,77;97,35;3676,97;37,77;4,23;97,35;-7,38;1,42;2892,9;10,82;25,47;-230,34;-2,89;3130,47;NA;0;1,03;1,05;1333,34;768,94;925,26;22,64;100,09;-108503,77;-1084,04;6,25;100,09;-1,83;1,15;NA;13,19;24,3;2445,6
"6";0;0;NA;NA;0,49;0,49;3747,97;3706,79;6345,39;NA;2,04;-1,96;-0,96;0;203,92;0;NA;NA;32,73;0;0;0;0;NA;NA;0,49;0,49;NA;NA;NA;NA;2,05;-1,95;-0,95;0;204,8;0;NA;NA;33,01;NA;NA;0;0;NA;NA;0,49;0,49;NA;NA;NA;NA;2,05;-1,95;-0,95;0;204,8;0;NA;NA;33,01;NA;NA
"7";-67,63;15,76;-71,26;0;0,07;0,07;383,53;127,24;1914,15;NA;5,06;-1,18;-0,23;49,72;529;-12,99;-6,68;5769,8;0;123,64;217,48;-57,63;11,37;-67,79;0;0,08;0,08;428,2;197,89;2534,98;0;6,07;-1,2;-0,2;68,21;606,83;-9,15;-9,71;NA;7,23;148,04;269,29;-242,18;15,5;-111,27;0;0,02;0,02;167,25;41,9;2620,18;NA;16,62;-1,06;-0,06;85,14;1662,25;-14,24;-21;NA;0;150,39;214,35
"8";-14,08;-40,96;-11,21;0,06;0,77;0,8;289,72;68,11;104,83;3,47;0,65;1,9;2,91;14,73;65,61;-17,4;0,77;12542,32;6,8;22,94;126,06;-7,2;-36,84;-6,43;0,07;1,55;1,61;324,87;81,08;157,68;11,94;80,45;411,38;5,11;25,3;80,45;-5,49;7,1;11995,72;10,78;20,58;99,7;-43,82;269,51;-35,78;0,02;1,13;1,22;297,2;46,37;109,41;19,67;116,01;-713,57;-6,15;3,48;116,01;-36,14;-0,25;14181,92;35,01;27,04;262
"9";8,11;65,17;2,39;0,14;1,12;1,17;107,38;87,34;89,48;4,58;0,87;6,98;8,03;37,47;87,55;9,55;43,1;11693,16;0;8,66;133,08;-172,3;111,92;NA;0,02;0,43;0,44;319,11;287,02;705,85;6,56;253,95;-164,96;-0,65;-98,58;253,95;-67,73;-259,06;NA;0;47,28;-58,34;-37,89;14,8;NA;0,01;0,3;0,31;-2721,48;-2439,22;-8440,47;-79,29;355,97;-139,07;-0,39;-19,99;355,97;-10,64;-305,03;NA;0;-101,2;-70,23
"10";0;0;NA;0;0,74;0,74;NA;NA;NA;NA;1,77;-2,29;-1,3;0;177,19;0;-3,41;NA;0;NA;NA;-10,98;16,95;NA;0;0,51;0,51;NA;NA;NA;NA;1,65;-2,54;-1,54;-10,98;164,65;-6,67;-4,1;NA;0;NA;NA;-20,21;19,39;NA;0;0,49;0,49;NA;NA;NA;NA;2,04;-1,96;-0,96;-20,21;204,26;-9,9;NA;NA;0;NA;0
"11";-0,14;-7,9;-0,16;0,3;1,05;1,05;439,53;292,72;261,13;0,04;0,98;57,06;58,08;3,92;98,28;0,55;4,05;49744,16;33,68;4,89;51,5;-11,38;126,79;-13,88;0,03;0,86;0,86;443,88;317,02;345,58;0,06;1,09;-12,14;-11,14;-5,11;108,98;-9,74;0,32;NA;17,28;5,43;-98,53;-141,89;84,65;NA;0;0,17;0,21;-1432,2;-463,86;-3533,44;-130,99;2,68;-1,6;-0,6;-119,55;267,63;-52,6;-5,54;NA;17,67;-63,15;-14,53
"12";0,03;0,06;0,08;0,01;0,53;1,25;924,42;107,28;249,54;223,25;0,5;1,01;2,01;9,66;50,31;6,79;1,14;20887,07;11,1;24,46;48,24;-10,33;-16,55;-29,8;0,02;0,58;1,2;1049,91;172,07;258,06;198,19;0,38;0,6;1,6;0,52;37,59;-15,75;1,08;6447,22;9,04;22,55;296,18;-23,75;-32,71;-39,38;0,03;0,4;0,66;603,71;43,28;97,64;30,84;0,27;0,38;1,38;-6,34;27,4;-66,01;0,91;NA;9,11;20,83;108,23
"13";10,74;104,41;11,5;0,39;1,85;1,93;389,58;235,93;145,64;15,76;0,9;8,72;9,72;15,67;89,71;13,89;1,21;48195,15;11,68;5,27;25,59;-2,65;-1174,81;-2,01;0,07;1,01;1,02;276,07;227,7;208,52;1,89;1;442,31;443,31;9,68;99,77;-0,65;1,27;NA;20,48;6,43;64,14;-0,85;-902,99;-1,17;0,01;1;1,01;501,96;433,29;490,32;3,73;1;1058,79;1059,79;10,48;99,91;-0,54;NA;NA;0,07;10,95;103,09
"14";-133,03;178,65;-26,51;0,2;0,61;0,61;72,55;38,77;96,19;0,42;1,74;-2,34;-1,34;-93,96;174,47;-67,16;-2,01;-11386,71;40,34;7,79;-53,28;7,67;-7433,45;4,69;0,18;0,99;1;222,73;179,06;220,61;1,37;100,1;-97011,87;-969,12;24,53;100,1;7,66;NA;NA;0;10,31;31,29;-37,38;67,04;-13,04;0,08;0,62;0,62;126,94;105,79;195,56;0,17;1,56;-2,79;-1,79;-13,6;155,77;-23,44;-15,83;NA;0;8,29;-149,4
