"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";0,04;-1,44;0,16;0,23;0,23;0,24;1417,95;5,55;861,43;10,67;0,78;-27,44;-35,4;5,76;102,82;8,21;0,13;10591,13;1,51;22,23;52,74;2,24;-969,03;9,61;0,1;0,11;0,12;1561,15;9,14;898,99;18,96;0,8;-345,62;-432,45;7,58;100,23;8,59;0,15;12577,75;7,06;22,89;47,31;0;-1,5;-0,01;0,08;0,09;0,09;1331,44;20,28;1234,39;2,89;99,79;47454,6;475,55;5,65;99,79;5,14;0;NA;5,43;20,66;52,3
"2";-29,79;-30,07;-85,06;65,97;65,97;107,78;568,15;NA;9,54;404,21;0,01;0,01;1,01;-29,79;0,93;-3211,11;NA;NA;0;0;0;19,7;22,84;12,07;3,98;5,17;7,26;223,15;36,29;30,4;64,33;0,14;0,16;1,16;19,7;13,78;142,96;NA;NA;0;0;0;7,52;8,18;4,95;11,73;11,73;12,31;239,62;NA;19,26;11,11;0,08;0,09;1,09;7,52;8,13;92,5;NA;NA;0;0;0
"3";7,12;52,94;21,6;0,82;0,84;0,84;1107,96;17,64;874,26;NA;0,85;6,32;7,44;7,12;86,56;8,38;NA;NA;0;0;0;26,36;76,39;66,08;0,62;1,63;1,63;912,46;559,71;555,21;NA;0,65;1,87;2,9;26,36;65,49;40,86;NA;NA;0;0;0;-38,7;-5479,03;NA;0,42;1,04;1,04;NA;NA;NA;NA;0,99;140,58;141,58;-38,7;99,29;-38,97;NA;NA;0;NA;0
"4";0,22;0,67;0,52;0,88;0,99;3,4;877,47;15,8;163,24;398,34;0,59;1,83;3,09;21,5;67,59;18,94;1,82;5790,74;0;51,15;258,18;0,46;1,34;0,96;0,64;0,76;2,74;751,33;19,55;184,6;369,8;0,58;1,67;2,89;22,52;65,36;17,77;2,08;2545,1;0;45,53;548,83;0,09;0,25;0,18;0,54;0,71;2,33;754,95;38,16;236,18;380,8;0,57;1,6;2,81;22,55;56,81;14,68;2,26;NA;0;33,29;390,8
"5";-0,21;-0,91;-0,6;0,17;0,42;0,42;699,36;193,21;780,73;NA;0,77;3,27;4,27;3,59;76,6;-0,28;0,35;-1776,5;0;10,76;-99,66;2,04;20,95;3,85;0,05;0,16;0,16;687,53;67,29;609,57;NA;0,9;9,28;10,28;11,3;90,28;23,1;0,12;-7034,8;0;17,49;-16,45;3,39;41,44;17,07;0,07;0,11;0,11;1832,4;65,08;1650;NA;0,92;11,22;12,22;7,74;91,82;26,61;0,09;NA;0;21,91;-39,8
"6";1,02;48,77;0,98;0;0,87;0,96;254,04;295,73;339,17;29,96;0,98;46,76;47,76;1,02;97,91;1,17;0,35;NA;0;0;0;2,28;41,98;1,6;0,37;0,85;0,97;255,8;116,26;239,08;28,19;0,95;17,39;18,4;2,28;94,57;4,96;0,64;NA;0;0;0;2,7;37,62;1,72;0,02;0,77;1,09;231,63;149,81;200,46;63,48;0,93;12,94;13,94;2,7;92,83;5,09;1,44;NA;0;0;0
"7";3,21;4,49;3,81;0,57;0,75;2,38;433,34;13,1;69,94;115,01;0,26;0,37;1,4;12,18;28,48;62,06;1,34;13343,56;2,6;10,65;57,51;2,6;4,23;3,55;0,37;0,6;2,25;497,63;16,31;68,74;114,7;0,37;0,6;1,63;11,01;38,62;43,5;1,22;17244,38;12,53;11,5;55,21;4,87;8,29;6,2;0,19;0,52;2,23;463,36;21,21;64,15;109,95;0,4;0,68;1,7;14,06;39,89;43,7;1,22;7184,32;20,24;7,96;32,84
"8";23,1;39,4;29,76;1,6;1,9;2,27;470,25;56,67;191,94;72,46;0,41;0,71;1,71;32,92;41,38;62,62;9,78;3882,13;0;12,66;51,84;8,34;9,86;9,68;2,51;3,42;5,48;422,46;58,71;64,4;135,01;0,15;0,18;1,18;23,93;15,41;73,92;5,47;1574,57;0;18,08;178,1;6,34;6,34;7,44;1170,69;1707,8;2289,31;427,27;69,8;0,13;75,57;0;0;1;10,21;0,03;25131,43;3,38;NA;0;3,6;-20,03
"9";10,25;31,4;1,85;0,31;1,02;1,04;65,9;30,78;43,68;1,19;0,67;2,06;3,06;13,12;67,37;16,24;1,12;84070;0;0,52;15,98;8,94;22,28;2,76;0,39;1,04;1,05;112,61;43,16;66,59;0,81;0,6;1,49;2,49;13,4;59,9;17,37;1,09;51850;0;1,38;24,83;7,56;18,49;3,32;0,21;0,73;0,78;159,8;47,75;91,52;4,39;0,59;1,44;2,44;10,58;59,09;16,87;0,75;NA;0,01;1,09;16,69
"10";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;26,27;26,27;NA;NA;NA;NA;420,96;2,49;NA;NA;NA;NA;1;26,27;0;NA;NA;NA;0;0;0
"11";0,11;0,16;0,87;0,1;0,6;0,6;2919,62;311,27;624,09;0;0,31;0,45;1,45;0,11;31;0,35;0,79;NA;0;0;0;3,76;5,37;20,7;0,16;0,61;0,61;2005,88;188,06;234,71;0;0,3;0,43;1,43;3,76;30,07;12,49;0,8;NA;9,29;0;0;3,5;5,91;9,58;0,11;0,21;0,21;995,61;30,97;343,29;NA;0,41;0,69;1,69;3,5;40,72;8,6;0,64;NA;-1,28;0;0
"12";0,01;0,01;0,01;0,15;4,51;4,88;324,81;137,51;31,5;11,74;0,12;0,14;1,14;41,76;12,2;56,68;1,7;11596,06;0;37,15;93,11;2,06;4,26;1,79;0,04;1,28;1,5;315,09;194,44;156,28;34,25;0,52;1,06;2,06;26,16;51,53;10,5;1,96;3817,38;0;20,86;286,17;4,24;6,15;3,43;0,16;1,76;2,32;294,36;138,51;86,15;47,81;31,03;44,99;1,45;33,27;31,03;26,13;2,2;NA;0;16,15;214,72
"13";41,03;96,02;48,38;1,75;1,75;1,75;153,3;NA;243,12;NA;0,57;1,34;2,34;41,03;57,27;71,65;NA;NA;0;0;0;10,74;42,9;13,93;1,08;1,26;1,26;471,93;63,03;349,86;NA;0,75;2,99;3,99;11,58;74,96;15,92;4,83;140765;0;1,09;5,26;10;17,3;19,41;2,07;2,21;2,21;706,36;40,94;294,55;NA;0,42;0,73;1,73;12,21;42,18;30,93;8,44;NA;0;4,28;11,47
"14";5,06;13,51;12,77;1,14;1,6;1,6;739,85;263,16;568,65;NA;0,63;1,67;2,67;5,06;62,56;8,09;NA;NA;0;0;0;0,78;3,24;29;0,97;1,18;1,32;13488,8;2071,03;10101,09;1479,81;0,76;3,14;4,14;26,88;75,82;1,03;NA;-28306;0;967;-23,91;3,4;20,53;3,63;0,31;0,72;0,82;387,94;129,93;319,87;33,46;0,83;5,03;6,03;7,88;83,43;15,16;0,53;NA;0;3,34;-2,99
"15";0,98;2,51;29,08;0,18;1,18;1,35;10841,09;5962,42;5998,68;1018,93;0,59;1,52;2,56;0,98;60,98;5,93;1,61;NA;0;0;0;0,36;0,75;2,93;0,33;1,03;1,56;2990,6;960,03;1374;728,53;0,51;1,07;2,11;0,36;52,7;4,04;1,72;NA;0;0;0;-7,9;-13,46;-17;0,14;0,59;1,37;782,86;138,36;313,11;245,1;0,41;0,7;1,7;-7,9;41,3;-12,11;1,31;NA;0;0;0
"16";0,98;2,51;29,08;0,18;1,18;1,35;9920,34;5962,42;5998,68;1018,93;0,59;1,52;2,56;0,98;60,98;5,93;1,61;NA;0;0;0;0,36;0,75;2,93;0,33;1,03;1,56;2990,6;960,03;1374;728,53;0,51;1,07;2,11;0,36;52,7;4,04;1,72;NA;0;0;0;-7,9;-13,46;-17;0,14;0,59;1,37;782,86;138,36;313,11;245,1;0,41;0,7;1,7;-7,9;41,3;-12,11;1,31;NA;0;0;0
"17";6,46;23,31;61,6;0;0,45;0,87;3478,63;822,73;619,55;831,31;0,71;2,57;3,61;16,53;72,27;16,95;0,62;-9688,7;38,21;95,94;-84,03;1,16;4,15;5,33;0;0,6;0,84;1672,3;530,41;435,45;221,4;0,46;1,64;3,58;10,1;72,07;13,7;0,59;-10546,52;28,26;41,07;-77,78;-0,25;-1,53;-2,07;0,02;0,58;0,68;3046,47;959,27;1291,04;178,94;59,35;367,79;6,2;5,38;59,35;3,74;0,31;NA;16,3;33,79;-160,76
"18";-5,89;-5,89;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;-5,89;0;NA;NA;NA;0;NA;0;0,68;1,93;1,74;0,13;0,72;1,54;931,11;352,27;597,06;497,14;0,65;1,84;2,84;0,68;64,84;1,05;NA;NA;0;0;0;3,38;41,22;6,58;0,06;0,66;1,09;707,42;386,01;642,22;276,61;0,92;11,18;12,18;3,38;91,79;3,69;NA;NA;0;0;0
"19";2,08;2,65;3,47;0,78;1,84;3,65;609,8;71,24;67,56;124,17;0,15;0,19;1,28;17,68;21,82;109,41;1,38;11207,19;0;26,07;108,18;7,94;9,66;12,3;2,15;3,27;5,45;563,77;57,27;51,11;113,17;0,12;0,15;1,22;23,37;17,78;191,37;1,69;17353,87;0;23,89;66,36;11,85;13,43;20,18;5,51;6,81;11,04;619,91;38,99;31,26;132,5;0,07;0,08;1,13;26,82;7,18;340,09;2,05;8125,8;0;18,74;45,05
"20";-1,22;-46,3;-1,51;0,01;0,49;0,51;450,24;155,83;307,33;7,91;0,86;32,54;37,89;2,53;97,36;21,91;0,25;25357,33;16,2;4,63;27,43;-3,9;-5087,42;-30,65;0,01;0,07;0,13;2861,26;141,51;2306,32;166,77;0,94;1232,16;1304,79;1,27;99,92;6,04;0,07;-3216,75;11,92;40,64;-200,11;-4,63;-154,15;-66,97;0;0,16;0,31;5260,98;766,58;4535,5;717,32;93,63;3114,69;33,27;-1,41;93,63;0,81;0,06;4486,5;4,5;32,78;-107,21
"21";9,62;48,67;10,75;0,01;0,79;1,05;407,92;121,02;124,38;41,07;0,8;4,06;5,06;19,82;80,24;16,9;0,85;25052,29;7,61;11,4;48,3;0,61;2,4;0,64;0,22;1,08;1,46;379,6;94,3;53,52;42,13;0,75;2,94;3,94;13,49;74,62;8,13;1,01;7330,94;14,76;13,43;165,84;-2,63;-16,14;-4,16;0,01;1;1,42;575,45;271,58;142,61;113,7;83,68;512,78;6,13;7,6;83,68;2;1,4;8798,71;23,94;11,62;52,84
"22";4,11;4,66;5,06;2,94;5,14;7,62;450,12;30,64;38,28;96,38;0,11;0,12;1,13;27,86;11,78;204,94;2,62;32530,21;0;29,29;71,06;1,15;1,31;2,15;1,83;3,22;7,17;680,33;-3,91;58,34;233,69;0,12;0,13;1,14;24,9;12,48;79,58;2,36;23653,06;0;44,39;110,58;2,73;3,52;4,09;0,51;1,58;3,56;545,75;77,14;92,62;183,23;0,22;0,28;1,29;27,15;21,76;60,34;2,08;NA;0;26,67;61,12
"23";1,38;2,76;3,31;0;1,84;2,16;877,96;556,27;230,12;96,2;0,47;0,95;2,01;15,18;50,21;16,43;2,83;-590,95;8,35;33,2;-2299,02;-3,47;-8,24;-9,68;0,01;0,74;0,93;1016,77;371,02;397,94;99,85;0,57;1,35;2,38;10,16;57,94;4,68;1,52;-3789,46;11,09;38,06;-338,67;3,71;9,86;10,56;0,18;1,13;1,32;1035,27;462,89;291,39;88,93;0,62;1,64;2,66;14,68;61,69;14,91;1,38;NA;19,07;22,51;1587,15
"24";0,41;0,66;0,5;0,05;0,82;1,63;447,03;88,39;79,21;94,85;0,3;0,48;1,61;22,76;37,82;36,83;1,14;13650,5;8,8;27,37;109,1;2,68;3,91;3,02;0,37;0,7;2,05;410,84;29,57;89,65;122,93;0,24;0,35;1,46;26,51;31,51;55,16;1,28;15620,57;0;26,9;98,79;9,68;13,55;11,48;0,16;0,61;2,09;431,47;40,84;90,39;133,73;0,23;0,32;1,4;30,7;22,6;81,9;1,31;10914,26;0;18,03;54,37
"25";2,9;11,24;9,47;0,12;0,26;0,48;1192,47;120,9;869,04;194,29;0,74;2,88;3,88;9,27;74,22;10,65;0,41;NA;0;20,82;190,03;11,76;33,25;31,52;0,23;0,42;0,58;975,18;116,31;620,97;102,42;0,65;1,83;2,83;19,09;64,62;25,73;0,57;NA;0;19,64;72,71;6,46;21,69;NA;0,01;0,09;0,27;2012,62;108,77;1391,58;252,89;0,7;2,36;3,36;13,03;70,24;16,32;0,37;NA;0;26,76;76,62
"26";21,62;53,43;22,15;0,48;0,48;1,52;373,96;NA;148,29;155,71;0,4;1;2,47;24,37;59,53;82,79;1,06;48188,2;0;2,81;19,08;10,93;21,25;11,39;0,58;0,69;2,08;379,57;13,63;118,03;166,06;0,32;0,62;1,95;14,81;48,59;48,39;1,52;-3776,67;0;4,05;-286,65;7,2;10,95;6,32;0,09;1,89;3,77;319,73;98,39;54,75;103,05;0,18;0,27;1,52;12,17;17,59;70,19;1,94;NA;0;3,07;-42,38
"27";-2,5;-16,58;-4,61;0;1,03;1,8;671,94;140,19;69,35;115,46;0,83;5,48;6,63;3,94;84,91;6,87;1,29;32769,55;67,96;11,86;48,37;2,55;12,92;3,84;0;1,31;2,73;547,52;93,06;39,7;108,99;0,78;3,96;5,06;9,7;80,25;14,35;1,4;45107,91;67,44;10,75;34,41;4,19;23,24;5,84;0;0,38;0,95;507,61;58,24;77,99;95,87;0,8;4,43;5,55;11,12;79,79;14,54;0,95;12076,46;59,89;6,98;26,59
"28";-0,11;-0,14;-0,26;4,86;4,89;4,89;458,17;5,24;170,24;NA;0,2;0,26;1,26;-0,11;20,44;-0,55;NA;NA;0;0;0;0,06;0,3;0,17;0,05;0,11;0,11;1106,43;50,8;860,22;NA;0,81;4,28;5,31;0,06;81,18;3,27;0,21;NA;0;0;0;2,89;14,25;NA;0,18;0,25;0,25;1154,85;61,14;904,82;0;0,79;3,9;4,93;2,89;79,22;8,8;0,25;NA;0;0;0
"29";1,55;1,94;1,58;0,49;0,95;2,33;373,29;19,76;43,27;60,82;0,19;0,24;1,25;17,83;20,25;102,68;1,19;17427,05;0,33;16,66;65,59;0,63;0,78;0,73;0,12;0,77;2,25;425,73;36,73;56,15;83,9;0,19;0,24;1,24;19,31;19,41;73,73;1,22;12553,95;0;21,85;114,21;-9,79;-15,83;-13,54;0,06;0,23;0,82;503,44;25,05;120,03;83,59;0,37;0,6;1,62;6,79;36,89;12,61;0,9;9233,14;9,63;16,29;145,78
"30";8,76;10,08;19,86;6,21;7,08;8,74;828,09;56,05;64,49;108,51;0,13;0,15;1,15;21,96;13,13;112,67;2,99;15580,15;0;29,95;69,83;1,85;2,13;5,56;6,44;7,29;8,72;1092,34;71,98;84,96;123,53;0,13;0,15;1,15;13,98;12,96;62,4;2,92;10523,4;0;36,41;109,7;4,12;4,63;15,17;9,22;10,17;12,82;1338,68;71,84;75,15;199,5;0,11;0,12;1,12;16,14;10,79;97,56;3,45;NA;0;32,12;69,03
"31";6,41;52,44;6,38;0,08;0,26;0,68;363,59;46,8;248,5;103,87;0,72;5,89;8,19;34,03;87,78;24,22;0,25;18324,65;0;27,52;63,96;2;13,64;1,82;0,03;0,42;0,72;330,36;90,18;226,11;67,76;0,72;4,91;6,81;32,06;85,31;19,35;0,32;11922,44;0;27,28;76,29;-0,13;-0,68;-0,09;0,09;0,42;0,54;241,94;50,36;149,33;16,87;0,67;3,38;5,06;42,49;66,82;22,92;0,34;7030,62;0;20,15;54,67
"32";-9,38;-19,68;-67,94;0,09;0,39;0,65;2643,09;250,61;735,3;229,87;0,4;0,85;2,1;1,79;52,33;-0,19;0,7;-8168,42;4,88;80,93;-163,64;0,09;0,18;0,77;0,18;0,44;0,71;3231,72;264,42;948,35;295,47;0,4;0,8;2,01;7,66;50,34;26,83;0,72;-1098,25;5,07;67,21;-792,94;1,6;3,01;13,94;0,23;0,57;0,85;3166,55;301,2;822,16;260,87;0,36;0,68;1,88;7,46;36,07;30,39;0,8;NA;3,77;36,02;-76,42
"33";-6,18;-6,47;-9,02;22,35;22,35;22,35;332,6;NA;23,5;NA;0,04;0,05;1,05;-6,18;4,48;-138,18;NA;NA;0;0;0;-3,16;-6,17;-1,31;0,51;2,05;2,05;150,89;111,91;72,85;NA;0,49;0,95;1,95;-3,16;48,81;-6,47;NA;NA;0;0;0;12,08;317,7;NA;0,56;1,04;1,04;378,71;173,28;359,96;NA;0,96;25,3;26,3;12,08;96,2;12,56;NA;NA;0,09;0;0
