"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44";"V45";"V46";"V47";"V48";"V49";"V50";"V51";"V52";"V53";"V54";"V55";"V56";"V57";"V58";"V59";"V60";"V61";"V62";"V63"
"1";7,88;17,48;1,21;0,24;0,85;5,85;55,7;5,69;9,42;47,77;0,55;1,22;2,22;7,88;54,93;14,34;NA;NA;0;0;0;8,18;21,7;1,98;0,05;4,2;26,42;88,01;8,26;1,99;44,26;0,62;1,65;2,65;8,18;62,32;15,88;0,95;NA;0;0;0;5,09;13,3;1,42;14,19;16,93;41,66;101,13;4,87;1,78;44,08;0,62;1,61;2,61;5,09;61,69;23;1,49;NA;0;0;0
"2";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;41,76;41,76;NA;NA;NA;NA;858,62;NA;NA;NA;NA;NA;1;41,76;0;NA;NA;NA;0;0;0;16,69;24,52;NA;1,61;3,13;3,13;748,86;360;236,37;NA;0,32;0,47;1,47;16,69;31,91;52,3;NA;NA;0;0;0
"3";0;NA;0;0,16;0,33;1;116,81;18,88;115,49;78,66;1;NA;NA;24,85;100;0;NA;23460,71;0;7,98;58,98;0;NA;0;0,15;0,35;0,94;112,08;21,5;109,77;65,22;1;NA;NA;24,53;100;0,43;0,01;NA;0;3,75;28,71;0;NA;NA;0,13;0,34;0,9;109,03;22,01;106,83;60,52;1;NA;NA;16,54;100;3,12;0;NA;0;3,43;29,3
"4";-5,75;-6,6;NA;0,15;7,83;7,83;NA;NA;NA;NA;0,13;0,15;1,15;-5,75;12,78;-45,04;NA;NA;0;NA;0;8,03;9,35;30,43;0,61;7,1;7,1;1379,32;1247,59;192,2;NA;14,09;16,4;1,16;8,03;14,09;57;NA;NA;0;0;0;6,21;7,24;20,59;0,45;7,9;7,9;1206,26;1124,42;151,07;NA;14,12;16,44;1,16;6,21;14,12;44,01;NA;NA;0;0;0
"5";0,12;5,24;0,05;0,18;0,79;1,03;152,55;90,29;146,81;34,85;0,98;41,87;42,87;9,31;97,67;0,13;NA;7638,33;0;3,85;99,62;3,05;62,94;0,93;0,18;0,82;1,05;111,49;67,85;104,86;24;0,95;19,65;20,65;14,1;95,16;3,2;NA;NA;0;2,45;53,8;3,27;41,15;1,08;0,13;0,83;1,09;120,84;77,19;109,89;27,88;0,92;11,6;12,6;17,95;92,06;3,55;NA;NA;0;3,49;64,57
"6";18,76;29,98;11;1,71;2,61;2,67;213,43;70,66;78,96;5,16;0,37;0,6;1,6;18,76;37,41;50,16;NA;NA;0;0;0;8,1;11,09;13,16;3,38;3,62;3,71;591,54;38,79;157,59;14,23;0,27;0,37;1,37;8,1;26,94;30,07;NA;NA;0;0;0;-7,45;-9,86;-15,93;3,67;3,98;4,1;778,05;59,13;187,86;21,28;0,24;0,32;1,32;-7,45;24,41;-30,53;NA;NA;0;0;0
"7";14,2;90,71;5,79;0;0,46;0,91;148,36;47,31;98,09;46,56;0,84;5,34;6,39;54,4;84,35;20,41;0,68;24807,08;10,92;16,39;62,62;20,77;95,6;9,23;0,07;0,83;1,04;161,71;81,15;99,35;22,22;0,78;3,6;4,6;50,81;78,26;30,6;1,04;NA;13,1;9,64;36,03;22,13;95,55;9,71;0,12;0,68;0,97;159,66;53,16;89,05;28,22;0,77;3,31;4,32;58,13;76,7;35,2;0,92;NA;17,92;11,46;37,45
"8";11,42;28,13;2,47;0,5;0,82;2,08;78,66;10,86;26,95;43,13;0,59;1,46;2,46;71,4;59,39;32,47;5,4;49458,5;15,9;12,96;69,65;22,27;36,03;4,63;1,24;1,69;3,42;75,72;9,56;21,85;36,61;0,38;0,62;1,62;76,71;38,19;72,89;21,86;NA;5,93;11,33;60,09;24,22;35,83;6,23;1,35;1,69;3,43;93,59;8,99;27,13;45,96;0,32;0,48;1,48;66,48;32,41;75,15;32,49;NA;4,28;10,87;56,07
"9";0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;NA;NA;NA;0;NA;NA;27,09;29,33;NA;13,09;13,09;13,09;1048,15;NA;79,2;NA;7,64;8,27;1,08;27,09;7,64;354,55;NA;NA;0;0;0;16,37;22,8;10,73;1,33;1,33;3,55;238,68;0,58;66,58;147,2;28,2;39,28;1,39;16,37;28,2;58,05;NA;NA;0;0;0
"10";7,24;9,13;NA;0,22;4,97;4,97;358,89;316,9;42,34;NA;0,2;0,25;1,26;38,82;20,12;57;12,34;NA;6,85;23,06;48,62;19,47;27,92;NA;0,54;3,67;3,67;266,28;193,37;39,97;NA;0,3;0,43;1,43;45,05;29,8;76,95;7,1;NA;8,22;13,71;31,1;16,74;17,37;NA;-56,32;-266,26;-266,26;264,75;189,71;-28,11;NA;0,03;0,04;1,04;38,85;3,39;619,8;12,66;NA;10,39;11,8;29,89
"11";4,53;11,78;2,62;2,43;2,43;2,44;210,19;NA;85,04;1,22;0,64;1,67;2,6;63,73;64,28;7,05;NA;NA;0;34,18;254,02;3,35;10,57;3,2;2,46;2,91;2,93;347,91;5,23;117,57;1,65;68,28;215,24;3,15;39,97;68,28;4,91;NA;NA;0;35;184,94;4,41;14,66;5,01;2,27;2,65;2,98;413,54;14;137,46;44,1;69,93;232,57;3,33;27,64;69,93;6,3;NA;NA;0;26,39;76,12
"12";16,55;89,96;3,19;0,15;0,51;1,06;70,19;17,67;52,71;31,25;0,82;4,43;5,44;52,31;81,6;23,08;1,36;30248,5;4,35;6,9;58,43;21,21;92,98;4,38;0,25;0,58;1,13;75,22;16,15;56,13;30,92;0,77;3,38;4,38;51,81;77,19;30,06;2,13;NA;0;4,51;35,37;24,48;50,17;5,22;0,26;0,75;1,82;77,55;16,09;37,67;40,47;0,51;1,05;2,05;57,68;51,12;52,47;5,35;NA;0;5,04;34,18
"13";50,03;-73,29;7,13;0,27;0,48;0,48;51,91;9,79;85,39;0;1,68;-2,46;-1,46;137;168,27;35,95;-3,68;11461,8;0;12,4;49,15;-4,83;26,21;-2,86;0,05;0,82;0,82;215,04;193,99;251,9;NA;118,44;-642,23;-5,42;5,43;118,44;-3,2;-7,22;NA;0;6,06;140,38;12,74;-136,31;3,92;0,02;0,91;0,91;112,12;107,46;120,72;NA;109,35;-1169,76;-10,7;24,14;109,35;13,16;-7,41;NA;0;3,51;36,31
"14";25,46;30,1;24,62;6,01;6,46;6,46;351,98;23,99;53,66;NA;0,15;0,18;1,18;25,46;15,41;165,17;NA;NA;0;0;0;9;9,71;NA;12,94;13,51;13,51;549,83;22,89;40,07;NA;0,07;0,08;1,08;9;7,37;122,09;NA;NA;0;0;0;9,95;10,75;NA;11,72;12,29;13,36;710,24;29,66;52,59;56,22;0,07;0,08;1,08;9,95;7,49;132,89;NA;NA;0;0;0
"15";-3,73;18,02;-30,23;0,05;0,07;0,08;2946,79;28,36;1324,34;19,21;1,21;-5,83;-4,83;-0,94;120,72;-3,09;0,57;470;0;22,59;950,21;-1,25;-5,62;-8,08;0,14;0,35;0,55;2352,54;23;110,25;22,28;0,78;3,5;4,5;2,56;77,75;-1,61;0,98;NA;0;18,23;111,14;0,25;1,1;1,35;0,19;0,43;0,59;1993,56;21,7;89,91;14,5;0,78;3,45;4,45;4,34;77,52;0,32;0,98;NA;0;17,65;64,69
"16";28,81;29,49;NA;47,66;47,66;47,66;344,74;NA;6,74;NA;0,02;0,02;1,02;28,06;2,29;1256,38;NA;NA;0,12;-0,02;-0,08;47,66;55,45;NA;1,46;3,61;3,61;162,6;48,27;22,45;NA;0,14;0,16;1,16;107,84;14,04;347;1,74;NA;0;19,14;38,82;16,74;23,49;NA;1,65;2,67;2,67;235,05;67,75;66,65;NA;0,29;0,4;1,4;21,57;28,74;86,18;3,05;NA;0;2,13;7,52
"17";16,21;22,14;5,42;0,63;3,11;3,95;121,78;74,06;29,89;25,45;0,27;0,37;1,37;31,84;26,77;62,47;36,91;32407,83;0;5,23;41,12;18,15;22,27;6,95;0,75;4,58;5,38;139,3;89,87;24,98;19,84;0,19;0,23;1,23;29,68;18,51;100,8;39,45;NA;0;3,11;22,24;12,84;14,99;5,45;2,63;5,93;7,02;154,36;64,21;21,23;23,16;0,14;0,17;1,17;23,1;14,32;91,46;51,33;NA;0;3,07;22,19
"18";0,06;1,49;0,09;0,78;0,91;1,02;531;65,15;499,17;55,5;0,96;23,86;24,86;0,06;95,98;1,69;1,46;NA;0;0;0;1,33;29,29;NA;0,71;0,92;1,01;2876,56;543,89;2575,38;236,06;0,91;20,15;22,08;3,6;91,26;3,15;0,61;NA;0;13,31;48,72;0,57;10,82;2,13;0,8;0,99;1,1;1354,62;212,84;1133,66;126,3;0,9;17,03;18,86;3,31;90,3;2,78;1,57;NA;0;7,85;34,48
"19";-514,01;90,88;NA;0,15;0,15;0,15;NA;NA;NA;NA;6,66;-1,18;-0,18;-514,01;665,57;-77,23;NA;NA;0;NA;0;34,57;6876;17,82;0,62;0,62;1,22;187,66;NA;152,2;90,69;0,99;197,92;198,92;34,57;99,5;34,74;NA;NA;0;0;0;0,98;98,57;2,03;0,05;0,11;1,21;754,84;32,89;618,92;679,95;0,99;99,89;100,89;0,98;99,01;0,99;NA;NA;0;0;0
"20";28,11;43,39;33,22;0,13;2,14;2,14;430,23;300,54;149,55;0,02;0,35;0,54;1,54;44,54;35,23;89,84;2,62;24209;0;19,42;27,63;30,23;41,71;NA;2,55;3,23;3,23;463,59;85,52;125,53;0;0,28;0,38;1,38;50,48;27,52;126,66;6,29;NA;0;18,48;22,14;18,16;23,56;NA;3,4;4,16;4,16;633,62;107,31;141,74;0;0,23;0,3;1,3;33,15;22,92;96,57;12,99;NA;0;18,93;25,25
"21";1,55;132,08;0,58;0,13;0,4;0,77;135,54;28,14;104,53;38,6;0,99;84,41;85,41;21,78;98,83;1,6;0,55;15899,38;13,91;7,53;83,64;2,72;65,88;0,8;0,17;0,55;0,94;106,89;36,96;87,47;38,48;0,94;22,78;24,24;29,36;93,98;2,91;0,4;NA;10;5,62;62,24;6,44;63,26;2,03;0,22;0,59;0,99;114,86;37,01;91,89;40,83;0,9;8,83;9,83;29,86;89,83;7,2;1;NA;8,43;5,3;52,36
"22";7,19;45,02;2,64;0,34;0,71;1,12;133,47;13,79;106,84;44,16;0,84;5,26;6,26;49,73;84,04;11,91;3,39;28732,8;1,78;15,6;74,6;38,33;82,41;13,14;1,01;1,23;1,81;124,74;NA;64,76;37,47;0,53;1,15;2,15;82,69;53,49;76,39;20,37;NA;0;11;33,36;7,53;44,21;3,44;0,4;0,66;1,22;166,43;11,88;114,31;64,4;0,83;4,87;5,87;52,44;82,96;13,99;2,22;NA;11,59;14,7;53,08
"23";0,31;17,85;0,27;0,05;0,4;0,54;317,11;67,78;189,81;29,32;0,98;56,9;57,9;10,86;98,27;4,74;0,56;24724;37,2;9,19;60,43;1,29;43,28;1,25;0,03;0,16;0,25;353,74;44,33;246,11;30,32;0,97;32,64;33,64;13,81;97,03;5,91;0,04;NA;26,19;8,67;43,08;0,56;16,12;0,51;0,01;0,19;0,3;330,05;56,67;262,36;34,47;0,97;27,71;28,71;14,5;96,52;3,64;0,05;NA;15,55;9,06;49,3
"24";2,11;2,23;14,25;19,28;19,28;19,28;2455,64;NA;126;NA;0,05;0,06;1,06;14,19;5,24;40,28;NA;800;0;81,5;81,5;19,39;23,89;19,46;5,36;5,36;5,36;365,28;NA;67,36;NA;0,19;0,23;1,23;49,55;18,81;103,08;NA;NA;0;30,27;43,05;17,83;20,7;4,48;7,28;7,31;7,31;91,39;0,3;12,37;NA;0,14;0,16;1,16;33,56;13,89;128,31;NA;NA;0;3,95;38,9
"25";-6,99;100;-2,04;0,14;-1;-1;106,46;-129,35;112,65;NA;1,07;-15,31;-14,31;-5,34;106,99;11,1;-0,03;NA;0;0,48;10,45;-42,29;-327,44;NA;0,58;0,56;1,15;195,51;-4,39;168,39;99,38;0,87;6,74;7,74;-42,29;87,09;-48,56;NA;NA;0;0;0;6,96;38,41;8,89;1,03;1,06;1,22;465,05;12,63;376,65;61,18;0,82;4,52;5,52;6,96;81,89;8,49;NA;NA;0;0;0
"26";-2,18;-2,21;-2,13;73;81,2;81,2;214,92;35,5;4,33;NA;0,01;0,01;1,01;-2,18;1,23;-177,05;NA;NA;0;0;0;8,58;19,72;NA;0,35;0,36;0,37;584,71;2,11;326,73;4,66;0,56;1,3;2,3;8,58;56,5;56,6;0,55;NA;0;0;0;0,49;1,01;NA;0,66;0,79;0,79;624,36;42,14;314,12;NA;0,51;1,04;2,04;0,49;50,87;57,06;0,83;NA;0;0;0
